Objective,ConstraintMode,Method,Median_Best_Fitness,Mean_Best_Fitness,Median_Profit,Median_Units,Median_HR,Feasible_Rate
O1,NONE,GENETIC_ALGORITHM,12267.0,12193.4,15257.0,50369.0,451.0,1.0
O1,NONE,HILL_CLIMBING,14007.0,14019.6,16997.0,54659.0,472.0,1.0
O1,NONE,MONTE_CARLO,8689.0,8512.4,11679.0,47606.0,431.0,1.0
O1,NONE,SIMULATED_ANNEALING,13805.0,13792.0,16795.0,55064.0,471.0,1.0
O2,PENALTY,GENETIC_ALGORITHM,622.0,616.8,3612.0,9991.0,93.0,1.0
O2,PENALTY,HILL_CLIMBING,-152.0,-131.4,2838.0,9993.0,85.0,1.0
O2,PENALTY,MONTE_CARLO,-366.0,-391.6,2624.0,9478.0,77.0,1.0
O2,PENALTY,SIMULATED_ANNEALING,124.0,115.6,3114.0,9998.0,89.0,1.0
O2,REPAIR,GENETIC_ALGORITHM,528.0,501.0,3518.0,9993.0,93.0,1.0
O2,REPAIR,HILL_CLIMBING,-47.0,-62.4,2943.0,9968.0,86.0,1.0
O2,REPAIR,MONTE_CARLO,288.0,316.4,3278.0,9510.0,89.0,1.0
O2,REPAIR,SIMULATED_ANNEALING,96.0,87.8,3086.0,9991.0,87.0,1.0
O3_PARETO,NONE,NSGA_II,938.0,917.2,3928.0,9993.0,80.0,1.0
O3_WEIGHTED,PENALTY,GENETIC_ALGORITHM,0.40499999999999986,0.45691999999999994,3470.0,9983.0,92.0,1.0
O3_WEIGHTED,PENALTY,HILL_CLIMBING,-0.296,-0.24912000000000006,2965.0,9986.0,88.0,1.0
O3_WEIGHTED,PENALTY,MONTE_CARLO,-0.831,-1.0493999999999999,2570.0,8882.0,81.0,1.0
O3_WEIGHTED,PENALTY,SIMULATED_ANNEALING,-0.15700000000000008,-0.08920000000000007,3075.0,9993.0,87.0,1.0
O3_WEIGHTED,REPAIR,GENETIC_ALGORITHM,0.6556,0.64288,3664.0,9980.0,96.0,1.0
O3_WEIGHTED,REPAIR,HILL_CLIMBING,-0.1796,-0.2739600000000001,3046.0,9987.0,86.0,1.0
O3_WEIGHTED,REPAIR,MONTE_CARLO,0.16939999999999988,0.16627999999999993,3306.0,9913.0,88.0,1.0
O3_WEIGHTED,REPAIR,SIMULATED_ANNEALING,-0.033800000000000024,-0.036080000000000036,3148.0,9987.0,85.0,1.0
