Objective,ConstraintMode,Method,Median_Profit,Mean_Profit,Std_Profit,Min_Profit,Max_Profit,Median_Units,Median_HR,Feasible_Rate,N_Splits
O1,NONE,GENETIC_ALGORITHM,13418.0,16704.7,6910.4,12154,33411,50535.0,451.5,1.0,12
O1,NONE,HILL_CLIMBING,14591.0,17131.8,5496.9,12851,29312,53125.5,465.0,1.0,12
O1,NONE,MONTE_CARLO,11329.0,14163.0,5909.5,10089,27590,49928.0,453.0,1.0,12
O1,NONE,SIMULATED_ANNEALING,14132.5,17108.4,6579.2,12657,32256,53261.5,488.5,1.0,12
O2,REPAIR,GENETIC_ALGORITHM,3439.5,3490.9,223.2,3221,4048,9873.5,92.0,1.0,12
O2,REPAIR,HILL_CLIMBING,2821.0,2787.8,208.4,2426,3050,9989.5,86.0,1.0,12
O2,REPAIR,MONTE_CARLO,3230.5,3299.5,189.7,3120,3803,9896.5,90.0,1.0,12
O2,REPAIR,SIMULATED_ANNEALING,2729.0,2776.0,230.1,2435,3144,9979.5,85.5,1.0,12
O3_WEIGHTED,REPAIR,GENETIC_ALGORITHM,3383.5,3404.4,165.5,3182,3787,9941.0,92.5,1.0,12
O3_WEIGHTED,REPAIR,HILL_CLIMBING,2815.0,2813.2,229.4,2455,3192,9991.0,86.5,1.0,12
O3_WEIGHTED,REPAIR,MONTE_CARLO,3255.5,3305.5,227.3,3064,3868,9745.0,88.5,1.0,12
O3_WEIGHTED,REPAIR,SIMULATED_ANNEALING,2939.5,2949.3,100.6,2747,3099,9950.5,85.5,1.0,12
